parameter,value,Omega
sigma,0.1,0.010212292860873747
sigma,0.10672268907563025,0.011632305586319225
sigma,0.1134453781512605,0.013144885595442841
sigma,0.12016806722689076,0.01475007238402344
sigma,0.126890756302521,0.016447907875163214
sigma,0.13361344537815126,0.018238436422032298
sigma,0.1403361344537815,0.02012170481076461
sigma,0.14705882352941177,0.022097762263516237
sigma,0.15378151260504203,0.02416666044169413
sigma,0.16050420168067228,0.026328453449323726
sigma,0.1672268907563025,0.028583197836604717
sigma,0.17394957983193277,0.030930952603606617
sigma,0.18067226890756302,0.0333717792041363
sigma,0.18739495798319328,0.03590574154977067
sigma,0.19411764705882353,0.038532906014042675
sigma,0.2008403361344538,0.04125334143680694
sigma,0.20756302521008405,0.04406711912874767
sigma,0.21428571428571427,0.04697431287607197
sigma,0.22100840336134453,0.049974998945358874
sigma,0.22773109243697479,0.05306925608857302
sigma,0.23445378151260504,0.05625716554824619
sigma,0.2411764705882353,0.05953881106283444
sigma,0.24789915966386555,0.06291427887222871
sigma,0.2546218487394958,0.06638365772344348
sigma,0.26134453781512607,0.06994703887646994
sigma,0.2680672268907563,0.07360451611030887
sigma,0.2747899159663866,0.07735618572915957
sigma,0.2815126050420168,0.08120214656879006
sigma,0.28823529411764703,0.08514250000307466
sigma,0.2949579831932773,0.08917734995071443
sigma,0.30168067226890755,0.09330680288211564
sigma,0.30840336134453783,0.0975309678264589
sigma,0.31512605042016806,0.10184995637892692
sigma,0.32184873949579834,0.10626388270813064
sigma,0.32857142857142857,0.11077286356369102
sigma,0.3352941176470588,0.1153770182840151
sigma,0.3420168067226891,0.12007646880424037
sigma,0.3487394957983193,0.12487133966436945
sigma,0.3554621848739496,0.12976175801757756
sigma,0.3621848739495798,0.13474785363870487
sigma,0.3689075630252101,0.1398297589329422
sigma,0.37563025210084033,0.1450076089446781
sigma,0.38235294117647056,0.15028154136656585
sigma,0.38907563025210085,0.15565169654873706
sigma,0.3957983193277311,0.16111821750823627
sigma,0.40252100840336136,0.16668124993863503
sigma,0.4092436974789916,0.1723409422198229
sigma,0.41596638655462187,0.1780974454280098
sigma,0.4226890756302521,0.18395091334591263
sigma,0.4294117647058823,0.1899015024731267
sigma,0.4361344537815126,0.19594937203671903
sigma,0.44285714285714284,0.20209468400198619
sigma,0.4495798319327731,0.20833760308343208
sigma,0.45630252100840335,0.21467829675594052
sigma,0.46302521008403363,0.2211169352661481
sigma,0.46974789915966386,0.22765369164401533
sigma,0.4764705882352941,0.23428874171460987
sigma,0.4831932773109244,0.2410222641100925
sigma,0.4899159663865546,0.24785444028190062
sigma,0.4966386554621849,0.25478545451316115
sigma,0.5033613445378151,0.2618154939312916
sigma,0.5100840336134453,0.26894474852083083
sigma,0.5168067226890757,0.2761734111364655
sigma,0.5235294117647059,0.2835016775162943
sigma,0.5302521008403361,0.2909297462952884
sigma,0.5369747899159664,0.2984578190189791
sigma,0.5436974789915966,0.306086100157375
sigma,0.5504201680672269,0.31381479711907995
sigma,0.5571428571428572,0.32164412026565725
sigma,0.5638655462184874,0.32957428292620916
sigma,0.5705882352941176,0.33760550141218243
sigma,0.5773109243697478,0.3457379950324113
sigma,0.5840336134453782,0.3539719861083901
sigma,0.5907563025210084,0.3623076999897695
sigma,0.5974789915966386,0.37074536507011197
sigma,0.6042016806722689,0.3792852128028559
sigma,0.6109243697478992,0.38792747771754915
sigma,0.6176470588235294,0.39667239743630317
sigma,0.6243697478991597,0.4055202126905006
sigma,0.6310924369747899,0.41447116733775213
sigma,0.6378151260504201,0.42352550837909897
sigma,0.6445378151260505,0.43268348597646455
sigma,0.6512605042016807,0.4419453534703659
sigma,0.6579831932773109,0.45131136739787997
sigma,0.6647058823529411,0.4607817875108596
sigma,0.6714285714285714,0.47035687679442556
sigma,0.6781512605042017,0.4800369014857134
sigma,0.6848739495798319,0.4898221310928841
sigma,0.6915966386554622,0.49971283841441133
sigma,0.6983193277310924,0.5097092995586376
sigma,0.7050420168067227,0.5198117939635954
sigma,0.711764705882353,0.5300206044171195
sigma,0.7184873949579832,0.5403360170772359
sigma,0.7252100840336134,0.5507583214928191
sigma,0.7319327731092437,0.561287810624554
sigma,0.738655462184874,0.5719247808661756
sigma,0.7453781512605042,0.5826695320659991
sigma,0.7521008403361344,0.5935223675487524
sigma,0.7588235294117647,0.6044835941376897
sigma,0.7655462184873949,0.6155535221770333
sigma,0.7722689075630252,0.6267324655546844
sigma,0.7789915966386555,0.6380207417252696
sigma,0.7857142857142857,0.6494186717334792
sigma,0.7924369747899159,0.6609265802377309
sigma,0.7991596638655463,0.6725447955341403
sigma,0.8058823529411765,0.6842736495808156
sigma,0.8126050420168067,0.6961134780224829
sigma,0.819327731092437,0.7080646202154234
sigma,0.8260504201680672,0.7201274192527568
sigma,0.8327731092436975,0.7323022219900428
sigma,0.8394957983193277,0.7445893790712408
sigma,0.846218487394958,0.7569892449549926
sigma,0.8529411764705882,0.7695021779412573
sigma,0.8596638655462185,0.7821285401983051
sigma,0.8663865546218488,0.7948686977900475
sigma,0.873109243697479,0.8077230207037349
sigma,0.8798319327731092,0.8206918828780179
sigma,0.8865546218487395,0.8337756622313651
sigma,0.8932773109243698,0.8469747406908592
sigma,0.9,0.8602895042213662
gamma,0.75,0.16669253288439975
gamma,0.7857142857142857,0.17233744019041689
gamma,0.8214285714285714,0.17783258401823376
gamma,0.8571428571428571,0.18318346157411713
gamma,0.8928571428571429,0.18839531323836833
gamma,0.9285714285714286,0.19347313711286665
gamma,0.9642857142857143,0.19842170260149486
gamma,1.0,0.20324556309712932
gamma,1.0357142857142858,0.20794906784261225
gamma,1.0714285714285714,0.21253637302732925
gamma,1.1071428571428572,0.21701145217589798
gamma,1.1428571428571428,0.22137810588072407
gamma,1.1785714285714286,0.22563997092594912
gamma,1.2142857142857142,0.22980052884641264
gamma,1.25,0.23386311396176268
gamma,1.2857142857142858,0.23783092092258482
gamma,1.3214285714285714,0.24170701180257384
gamma,1.3571428571428572,0.2454943227680273
gamma,1.3928571428571428,0.24919567035355789
gamma,1.4285714285714286,0.2528137573706944
gamma,1.4642857142857142,0.25635117847397076
gamma,1.5,0.2598104254072987
gamma,1.5357142857142858,0.26319389195165277
gamma,1.5714285714285714,0.2665038785935959
gamma,1.6071428571428572,0.2697425969326782
gamma,1.6428571428571428,0.27291217384448424
gamma,1.6785714285714286,0.27601465541484427
gamma,1.7142857142857142,0.27905201065964036
gamma,1.75,0.28202613504361074
gamma,1.7857142857142858,0.28493885381059614
gamma,1.8214285714285714,0.287791925136831
gamma,1.8571428571428572,0.2905870431180334
gamma,1.8928571428571428,0.2933258406003916
gamma,1.9285714285714286,0.2960098918647327
gamma,1.9642857142857142,0.2986407151726645
gamma,2.0,0.3012197751827996
gamma,2.0357142857142856,0.3037484852446746
gamma,2.0714285714285716,0.30622820957745156
gamma,2.107142857142857,0.30866026534005575
gamma,2.142857142857143,0.31104592459894553
gamma,2.1785714285714284,0.31338641619931246
gamma,2.2142857142857144,0.3156829275451541
gamma,2.25,0.3179366062933126
gamma,2.2857142857142856,0.3201485619662413
gamma,2.3214285714285716,0.3223198674879635
gamma,2.357142857142857,0.3244515606474486
gamma,2.392857142857143,0.32654464549328494
gamma,2.4285714285714284,0.328600093663415
gamma,2.4642857142857144,0.3306188456533493
gamma,2.5,0.33260181202613714
gamma,2.5357142857142856,0.3345498745671779
gamma,2.5714285714285716,0.3364638873867349
gamma,2.607142857142857,0.338344677972884
gamma,2.642857142857143,0.3401930481974304
gamma,2.6785714285714284,0.3420097752772464
gamma,2.7142857142857144,0.34379561269324027
gamma,2.75,0.3455512910691363
gamma,2.7857142857142856,0.3472775190120721
gamma,2.8214285714285716,0.3489749839169116
gamma,2.857142857142857,0.3506443527360753
gamma,2.892857142857143,0.352286272716573
gamma,2.9285714285714284,0.35390137210586414
gamma,2.9642857142857144,0.3554902608280229
gamma,3.0,0.3570535311316773
gamma,3.0357142857142856,0.35859175821105105
gamma,3.0714285714285716,0.3601055008013939
gamma,3.107142857142857,0.36159530175001636
gamma,3.142857142857143,0.3630616885640637
gamma,3.1785714285714284,0.3645051739361339
gamma,3.2142857142857144,0.3659262562487521
gamma,3.25,0.36732542005867796
gamma,3.2857142857142856,0.3687031365619904
gamma,3.3214285714285716,0.37005986404078606
gamma,3.357142857142857,0.37139604829236755
gamma,3.392857142857143,0.37271212304168
gamma,3.4285714285714284,0.37400851033776455
gamma,3.4642857142857144,0.3752856209349134
gamma,3.5,0.3765438546592351
gamma,3.5357142857142856,0.3777836007612539
gamma,3.5714285714285716,0.37900523825514576
gamma,3.607142857142857,0.3802091362452118
gamma,3.642857142857143,0.38139565424012345
gamma,3.6785714285714284,0.382565142455474
gamma,3.7142857142857144,0.3837179421051304
gamma,3.75,0.3848543856818579
gamma,3.7857142857142856,0.3859747972276886
gamma,3.8214285714285716,0.38707949259444135
gamma,3.857142857142857,0.3881687796948055
gamma,3.892857142857143,0.38924295874441256
gamma,3.9285714285714284,0.39030232249522023
gamma,3.9642857142857144,0.39134715646059864
gamma,4.0,0.39237773913244695
gamma,4.035714285714286,0.39339434219067293
gamma,4.071428571428571,0.39439723070531535
gamma,4.107142857142857,0.3953866633316468
gamma,4.142857142857143,0.3963628924985041
gamma,4.178571428571429,0.39732616459013265
gamma,4.214285714285714,0.39827672012179244
gamma,4.25,0.39921479390937414
gamma,4.285714285714286,0.4001406152332658
gamma,4.321428571428571,0.4010544079966808
gamma,4.357142857142857,0.4019563908786673
gamma,4.392857142857143,0.40284677748202424
gamma,4.428571428571429,0.40372577647627605
gamma,4.464285714285714,0.4045935917359273
gamma,4.5,0.4054504224741817
gamma,4.535714285714286,0.40629646337225944
gamma,4.571428571428571,0.4071319047045245
gamma,4.607142857142857,0.40795693245953396
gamma,4.642857142857143,0.4087717284572049
gamma,4.678571428571429,0.4095764704622038
gamma,4.714285714285714,0.41037133229371825
gamma,4.75,0.41115648393174714
gamma,4.785714285714286,0.41193209162001626
gamma,4.821428571428571,0.4126983179656642
gamma,4.857142857142857,0.41345532203579954
gamma,4.892857142857143,0.41420325945104974
gamma,4.928571428571429,0.4149422824762054
gamma,4.964285714285714,0.41567254010806953
gamma,5.0,0.4163941781605936
phi,-10.0,0.4658037760558771
phi,-9.918067226890756,0.4626233931311258
phi,-9.836134453781513,0.45944301020637457
phi,-9.754201680672269,0.4562626272816233
phi,-9.672268907563025,0.45308224435687205
phi,-9.590336134453782,0.4499018614321208
phi,-9.508403361344538,0.44672147850736954
phi,-9.426470588235293,0.4435410955826183
phi,-9.344537815126051,0.440360712657867
phi,-9.262605042016807,0.43718032973311577
phi,-9.180672268907562,0.4339999468083645
phi,-9.09873949579832,0.43081956388361325
phi,-9.016806722689076,0.427639180958862
phi,-8.934873949579831,0.42445879803411074
phi,-8.852941176470589,0.4212784151093595
phi,-8.771008403361344,0.4180980321846082
phi,-8.6890756302521,0.41491764925985697
phi,-8.607142857142858,0.4117372663351057
phi,-8.525210084033613,0.40855688341035445
phi,-8.443277310924369,0.4053765004856032
phi,-8.361344537815127,0.40219611756085194
phi,-8.279411764705882,0.3990157346361007
phi,-8.197478991596638,0.3958353517113482
phi,-8.115546218487395,0.39265496878659817
phi,-8.033613445378151,0.3894745858618457
phi,-7.951680672268908,0.38629420293709565
phi,-7.869747899159663,0.3831138200123432
phi,-7.78781512605042,0.37993343708759314
phi,-7.705882352941177,0.37675305416284066
phi,-7.623949579831932,0.3735726712380894
phi,-7.542016806722689,0.37039228831333815
phi,-7.4600840336134455,0.3672119053885881
phi,-7.378151260504202,0.36403152246383563
phi,-7.296218487394958,0.3608511395390844
phi,-7.214285714285714,0.3576707566143331
phi,-7.132352941176471,0.35449037368958314
phi,-7.050420168067227,0.3513099907648306
phi,-6.968487394957983,0.34812960784007935
phi,-6.88655462184874,0.3449492249153281
phi,-6.804621848739496,0.34176884199057683
phi,-6.722689075630252,0.3385884590658256
phi,-6.640756302521009,0.3354080761410743
phi,-6.5588235294117645,0.33222769321632306
phi,-6.476890756302521,0.3290473102915718
phi,-6.394957983193278,0.32586692736682055
phi,-6.313025210084033,0.3226865444420693
phi,-6.23109243697479,0.31950616151731803
phi,-6.149159663865547,0.3163257785925668
phi,-6.067226890756302,0.3131453956678155
phi,-5.985294117647059,0.30996501274306426
phi,-5.9033613445378155,0.30678462981831306
phi,-5.821428571428571,0.3036042468935618
phi,-5.739495798319328,0.30042386396881054
phi,-5.657563025210084,0.2972434810440593
phi,-5.57563025210084,0.29406309811930803
phi,-5.493697478991597,0.2908827151945568
phi,-5.411764705882353,0.2877023322698055
phi,-5.329831932773109,0.28452194934505426
phi,-5.2478991596638656,0.281341566420303
phi,-5.165966386554622,0.27816118349555174
phi,-5.084033613445378,0.2749808005708005
phi,-5.0021008403361344,0.27180041764604923
phi,-4.920168067226891,0.268620034721298
phi,-4.838235294117647,0.2654396517965467
phi,-4.756302521008403,0.26225926887179546
phi,-4.67436974789916,0.2590788859470442
phi,-4.592436974789916,0.25589850302229294
phi,-4.510504201680672,0.2527181200975417
phi,-4.428571428571429,0.2495377371727904
phi,-4.3466386554621845,0.24635735424803917
phi,-4.264705882352941,0.24317697132328792
phi,-4.182773109243698,0.23999658839853666
phi,-4.100840336134453,0.2368162054737854
phi,-4.01890756302521,0.23363582254903414
phi,-3.936974789915966,0.2304554396242829
phi,-3.8550420168067228,0.22727505669953163
phi,-3.773109243697479,0.22409467377478037
phi,-3.6911764705882355,0.22091429085002912
phi,-3.6092436974789917,0.21773390792527786
phi,-3.527310924369748,0.2145535250005266
phi,-3.4453781512605044,0.21137314207577534
phi,-3.3634453781512605,0.2081927591510241
phi,-3.2815126050420167,0.20501237622627283
phi,-3.1995798319327733,0.20183199330152157
phi,-3.1176470588235294,0.19865161037677032
phi,-3.0357142857142856,0.19547122745201906
phi,-2.953781512605042,0.1922908445272678
phi,-2.8718487394957983,0.18911046160251654
phi,-2.7899159663865545,0.1859300786777653
phi,-2.707983193277311,0.18274969575301403
phi,-2.6260504201680672,0.17956931282826277
phi,-2.5441176470588234,0.17638892990351152
phi,-2.46218487394958,0.17320854697876026
phi,-2.380252100840336,0.170028164054009
phi,-2.2983193277310923,0.16684778112925774
phi,-2.216386554621849,0.1636673982045065
phi,-2.134453781512605,0.16048701527975523
phi,-2.052521008403361,0.15730663235500397
phi,-1.9705882352941178,0.15412624943025272
phi,-1.888655462184874,0.15094586650550146
phi,-1.8067226890756303,0.1477654835807502
phi,-1.7247899159663866,0.14458510065599894
phi,-1.6428571428571428,0.1414047177312477
phi,-1.5609243697478992,0.13822433480649643
phi,-1.4789915966386555,0.13504395188174517
phi,-1.3970588235294117,0.13186356895699392
phi,-1.315126050420168,0.12868318603224266
phi,-1.2331932773109244,0.1255028031074914
phi,-1.1512605042016806,0.12232242018274016
phi,-1.069327731092437,0.1191420372579889
phi,-0.9873949579831933,0.11596165433323764
phi,-0.9054621848739496,0.11278127140848639
phi,-0.8235294117647058,0.10960088848373513
phi,-0.7415966386554622,0.10642050555898387
phi,-0.6596638655462185,0.10324012263423261
phi,-0.5777310924369747,0.10005973970948136
phi,-0.4957983193277311,0.0968793567847301
phi,-0.41386554621848737,0.09369897385997886
phi,-0.3319327731092437,0.0905185909352276
phi,-0.25,0.08733820801047634
